feature,importance
bb_middle,0.03465449
ema_21,0.034451563
bb_upper,0.034261014
sma_50,0.034202624
bb_lower,0.033790305
ema_9,0.032201122
day_of_month,0.032026462
day_of_week,0.030758683
hour_sin,0.030252147
hour_cos,0.02973473
hour,0.028813029
is_ny_session,0.027545655
sma_20,0.027503202
is_weekend,0.026455581
sma_diff_20_50,0.026283702
is_london_session,0.025067503
macd_signal,0.024886753
macd_line,0.02332579
bb_squeeze,0.022884158
ema_diff_9_21,0.022781076
is_asian_session,0.022415407
volatility_20,0.022043198
bb_width,0.022042373
macd_histogram,0.019304862
atr,0.018790996
price_to_sma20,0.01863346
rsi_oversold,0.017640736
momentum_15,0.017351639
rsi,0.016649107
returns_15,0.016332781
ema9_slope,0.016209045
volatility_5,0.01548627
rsi_overbought,0.014882173
bb_position,0.014879524
price_to_ema9,0.014696202
momentum_5,0.014584951
macd_bullish,0.013982579
rsi_diff,0.013730044
returns_5,0.013543051
is_bearish,0.01347479
body_size,0.012497701
lower_shadow,0.012145289
candle_range,0.012126246
returns_1,0.011921808
is_bullish,0.01190546
upper_shadow,0.011889457
is_doji,0.008961366
stoch_d,0.0
stoch_k,0.0
pattern_shooting_star,0.0
pattern_hammer,0.0
stoch_overbought,0.0
stoch_oversold,0.0
bullish_pattern_count,0.0
pattern_three_black_crows,0.0
bearish_pattern_count,0.0
pattern_three_white_soldiers,0.0
pattern_bullish_engulfing,0.0
pattern_bearish_engulfing,0.0
pattern_doji,0.0
pattern_piercing_pattern,0.0
pattern_dark_cloud_cover,0.0
pattern_morning_star,0.0
pattern_evening_star,0.0
volume_ratio,0.0
